IND_acc,OOD_acc,ALL_acc,OOD_F1,ALL_F1,dataset,num_labeled_classes,num_unlabeled_classes,divide_seed,batch_size,max_epochs
0.9874074,0.8677777777777778,0.9395555555555556,0.8705765539025258,0.938811502139666,GID-CD,90,60,10,512,100
0.9800000190734864,0.8,0.908,0.7969310792742057,0.906281653534843,GID-CD,90,60,20,512,100
0.9837037324905396,0.8044444444444444,0.912,0.8038439067832839,0.9104520006730796,GID-CD,90,60,30,512,100
0.934239149093628,0.6959677419354838,0.837987012987013,0.7060353196751082,0.8380912087078479,GID-SD,46,31,10,512,100
0.920652151107788,0.7790322580645161,0.8636363636363636,0.7870939377592705,0.8626131483439314,GID-SD,46,31,20,512,100
0.9320651888847352,0.7564516129032258,0.8613636363636363,0.7709590375053721,0.8596840613345849,GID-SD,46,31,30,512,100
0.9866666793823242,0.9066666666666666,0.9546666666666668,0.9108828773505034,0.9535768244517332,GID-MD,90,60,10,512,100
0.9822221994400024,0.93,0.9613333333333334,0.9344563131374868,0.961683829216829,GID-MD,90,60,20,512,100
0.9844444394111632,0.9166666666666666,0.9573333333333334,0.9198330363370502,0.9574420802566272,GID-MD,90,60,30,512,100
0.9881481528282166,0.8844444444444445,0.9466666666666667,0.8885368964542466,0.9447412897646061,GID-MD,90,60,10,512,100
